ts,current_bytes,peak_bytes
1781135466,224563200,310992896
1781135467,224567296,310992896
1781135468,224526336,310992896
1781135469,224526336,310992896
1781135470,224526336,310992896
1781135471,224518144,310992896
1781135472,190046208,310992896
1781135473,189988864,310992896
1781135474,189988864,310992896
1781135475,189988864,310992896
1781135476,189947904,310992896
1781135477,202473472,310992896
1781135478,202473472,310992896
1781135479,202473472,310992896
1781135480,202469376,310992896
1781135481,202469376,310992896
1781135482,202416128,310992896
1781135483,202416128,310992896
1781135484,202416128,310992896
1781135485,202416128,310992896
1781135486,202416128,310992896
1781135487,188555264,310992896
1781135488,188555264,310992896
1781135489,188555264,310992896
1781135490,188555264,310992896
1781135491,188555264,310992896
1781135492,188526592,310992896
1781135493,188526592,310992896
1781135494,188526592,310992896
1781135495,188526592,310992896
1781135496,188526592,310992896
1781135498,188526592,310992896
1781135499,215322624,310992896
1781135500,1017425920,1041604608
1781135501,1525264384,1777225728
1781135502,1988485120,1990295552
1781135503,2596417536,2596646912
1781135600,22786048,23834624
1781135601,96968704,97824768
1781135602,243195904,302039040
1781135603,225398784,302039040
1781135604,225419264,302039040
1781135605,225419264,302039040
1781135605,225419264,302039040
1781135606,225460224,302039040
1781135606,225460224,302039040
1781135607,225464320,302039040
1781135607,225464320,302039040
1781135608,225427456,302039040
1781135608,225427456,302039040
1781135609,225427456,302039040
1781135609,225427456,302039040
1781135610,225427456,302039040
1781135610,225427456,302039040
1781135611,225406976,302039040
1781135611,225406976,302039040
1781135612,189935616,302039040
1781135612,189935616,302039040
1781135613,189935616,302039040
1781135613,189935616,302039040
1781135614,189935616,302039040
1781135614,189935616,302039040
1781135615,189935616,302039040
1781135615,189935616,302039040
1781135616,189894656,302039040
1781135616,189894656,302039040
1781135617,202215424,302039040
1781135617,202215424,302039040
1781135618,202215424,302039040
1781135618,202215424,302039040
1781135619,202215424,302039040
1781135619,202215424,302039040
1781135620,202207232,302039040
1781135620,202207232,302039040
1781135621,202207232,302039040
1781135621,202207232,302039040
1781135622,202182656,302039040
1781135622,202182656,302039040
1781135623,202182656,302039040
1781135623,202182656,302039040
1781135624,202182656,302039040
1781135624,202182656,302039040
1781135625,202182656,302039040
1781135625,202182656,302039040
1781135626,202182656,302039040
1781135626,202182656,302039040
1781135627,188293120,302039040
1781135627,188293120,302039040
1781135628,188293120,302039040
1781135628,188293120,302039040
1781135629,188293120,302039040
1781135629,188293120,302039040
1781135630,188293120,302039040
1781135630,188293120,302039040
1781135631,188293120,302039040
1781135631,188293120,302039040
1781135632,188264448,302039040
1781135632,188264448,302039040
1781135633,188264448,302039040
1781135633,188264448,302039040
1781135634,188264448,302039040
1781135634,188264448,302039040
1781135635,188264448,302039040
1781135635,188264448,302039040
1781135636,188264448,302039040
1781135636,188264448,302039040
1781135637,230428672,302039040
1781135637,230252544,302039040
1781135638,215027712,302039040
1781135638,215027712,302039040
1781135639,1642139648,1932292096
1781135639,1642139648,1932292096
1781135640,1690570752,1932292096
1781135640,1691357184,1932292096
1781135641,2000318464,2002784256
1781135641,2000293888,2002784256
1781135642,4305674240,4311064576
1781135642,4288319488,4312379392
1781135643,6010486784,6442450944
1781135644,5822107648,6442450944
1781135821,34488320,35532800
1781135822,182165504,182689792
1781135823,242434048,308473856
1781135824,225558528,308473856
1781135825,225566720,308473856
1781135827,225566720,308473856
1781135827,225611776,308473856
1781135828,225611776,308473856
1781135828,225624064,308473856
1781135829,225619968,308473856
1781135829,225628160,308473856
1781135830,225566720,308473856
1781135830,225566720,308473856
1781135831,225566720,308473856
1781135831,225566720,308473856
1781135832,225566720,308473856
1781135832,225566720,308473856
1781135833,225542144,308473856
1781135833,207101952,308473856
1781135834,189763584,308473856
1781135834,189763584,308473856
1781135835,189763584,308473856
1781135835,189763584,308473856
1781135836,189763584,308473856
1781135836,189763584,308473856
1781135837,189763584,308473856
1781135837,189763584,308473856
1781135838,189734912,308473856
1781135838,229875712,308473856
1781135839,202256384,308473856
1781135839,202256384,308473856
1781135840,202256384,308473856
1781135840,202256384,308473856
1781135841,202510336,308473856
1781135841,202256384,308473856
1781135842,202252288,308473856
1781135842,202252288,308473856
1781135843,202252288,308473856
1781135843,202252288,308473856
1781135844,202227712,308473856
1781135844,202227712,308473856
1781135845,202227712,308473856
1781135845,202227712,308473856
1781135846,202227712,308473856
1781135846,202227712,308473856
1781135847,202227712,308473856
1781135847,202227712,308473856
1781135848,202199040,308473856
1781135848,202199040,308473856
1781135849,188338176,308473856
1781135849,188338176,308473856
1781135850,188338176,308473856
1781135850,188338176,308473856
