ts,rss_kb
# launch 2026-06-10T23:28:52+00:00 fresh=0
1781134132,6264
1781134137,240324
1781134142,240340
1781134147,239944
1781134152,239944
1781134157,239944
1781134162,239944
1781134167,239944
1781134172,239944
1781134178,239944
1781134183,239944
1781134188,239944
1781134193,239944
# launch 2026-06-10T23:33:08+00:00 fresh=0
1781134388,87168
1781134393,240620
1781134399,240636
1781134404,240444
1781134409,240444
1781134414,240444
1781134419,240444
1781134424,240444
1781134429,240444
1781134434,240152
1781134439,240152
1781134444,240152
1781134449,240152
1781134454,240152
1781134459,240152
# launch 2026-06-10T23:47:12+00:00 fresh=0
1781135232,23220
1781135237,239928
1781135242,239944
1781135248,239664
1781135253,239664
1781135258,239664
1781135263,239664
1781135268,239664
1781135273,239664
1781135278,239664
1781135283,239664
# launch 2026-06-10T23:48:23+00:00 fresh=0
1781135303,21880
1781135308,240672
1781135313,240688
1781135318,240408
1781135323,240408
1781135328,240408
1781135333,240408
1781135339,240224
1781135344,240224
1781135349,240224
1781135354,240224
1781135359,1815392
# launch 2026-06-10T23:51:00+00:00 fresh=0
1781135460,10000
1781135465,240432
1781135470,240448
1781135475,240308
1781135480,240308
1781135485,240308
1781135490,240308
1781135495,240308
1781135501,1033984
# launch 2026-06-10T23:53:20+00:00 fresh=0
1781135600,10956
1781135605,239912
1781135610,239928
1781135615,239652
1781135620,239652
1781135625,239652
1781135630,239652
1781135635,239652
1781135640,1099540
# launch 2026-06-10T23:57:01+00:00 fresh=0
1781135821,8844
1781135826,240772
1781135831,240788
1781135836,240600
1781135841,240600
1781135846,240600
1781135851,240584
1781135857,3505880
# launch 2026-06-10T23:59:53+00:00 fresh=0
1781135994,3280
1781135999,239384
1781136004,239400
1781136009,239060
1781136014,239060
1781136019,239060
1781136024,239060
1781136029,238916
1781136034,1515100
1781136039,1515032
1781136044,1514400
1781136049,1514104
1781136054,1514108
1781136059,1514108
1781136064,1517828
1781136069,1517828
1781136074,1517824
1781136079,1517824
1781136084,1517892
1781136089,1517892
1781136094,1517892
1781136099,1517896
1781136105,1517924
1781136110,1517924
1781136115,1517924
1781136120,1517924
1781136125,1520440
1781136130,1520444
1781136135,1519676
1781136140,1519676
1781136145,1519744
1781136150,1519744
1781136155,1519744
1781136160,1519744
1781136165,1519780
1781136170,1527024
1781136175,1527024
1781136180,1526200
1781136185,1526912
1781136190,2146504
1781136195,2146508
1781136200,2145724
1781136205,2145724
1781136210,2145724
1781136216,2145724
1781136221,2145724
1781136226,2145724
1781136231,2145732
1781136236,2145732
1781136241,2145728
1781136246,2145728
1781136251,2145728
1781136256,2145728
1781136261,2145728
1781136266,2145724
1781136271,2147004
1781136276,2147004
1781136281,2146216
1781136286,3226312
1781136291,3227468
1781136296,3227456
1781136301,3226844
1781136306,3226672
1781136311,3226672
1781136317,3226672
1781136322,3226672
1781136327,3226672
1781136332,3226672
1781136337,3226672
1781136342,3226672
1781136347,3226672
1781136352,3226672
1781136357,3226672
1781136362,3226672
1781136367,3226672
1781136372,3226672
1781136377,3226672
1781136382,3226676
1781136387,3226672
1781136392,3226672
1781136397,3226672
1781136402,3226648
1781136407,3226648
1781136412,3226648
1781136417,3226648
1781136423,3226648
1781136428,3226648
1781136433,3226648
1781136438,3226652
1781136443,3226648
1781136448,3226648
1781136453,3226648
1781136458,3226652
1781136463,3226648
1781136468,3226660
1781136473,3226652
1781136478,3226652
1781136483,3226652
1781136488,3226652
1781136493,3226652
1781136498,3226644
1781136503,3226648
1781136508,3226648
1781136513,3226648
1781136519,3226648
1781136524,3226648
